1 24.2357
2 23.0628
3 20.2063
4 17.4596
5 15.3994
6 13.5671
7 11.5827
8 9.81116
9 8.66467
10 7.28447
11 6.29443
12 5.38464
13 4.26491
14 3.49026
15 2.85726
16 2.31151
17 1.85119
18 1.49438
19 1.21617
20 0.987936
